timestamps,TP9,AF7
1533058235,21.484,24.414
1533058235,36.621,21.484
1533058235,28.32,17.09
1533058235,20.508,19.531
1533058235,17.09,26.367
1533058235,22.461,23.438
1533058235,34.668,15.137
1533058235,30.273,10.742
1533058235,20.996,17.09
1533058235,23.438,27.344
1533058235,24.902,21.484
1533058235,41.016,20.508
1533058235,36.133,24.414
1533058235,2.93,22.461
1533058235,-9.277,25.391
1533058235,5.371,25.879
1533058235,21.484,22.949
1533058235,7.812,26.855
1533058235,-5.371,31.25
1533058235,-13.184,30.273
1533058235,-14.16,29.785
1533058235,-2.93,34.668
1533058235,0.488,33.691
1533058235,-12.207,26.855
1533058235,-35.156,20.508
1533058235,-37.109,18.555
1533058235,-22.949,21.973
1533058235,-37.109,24.414
1533058235,-56.641,25.391
1533058235,-67.871,21.484
1533058235,-69.824,21.484
1533058235,-59.57,24.902
1533058235,-52.734,25.391
1533058235,-58.594,23.926
1533058235,-66.895,20.02
1533058235,-63.477,20.02
1533058235,-51.758,20.02
1533058235,-34.668,26.367
1533058235,-42.969,31.25
1533058235,-63.965,27.344
1533058235,-51.27,29.297
1533058235,-41.992,24.414
1533058235,-45.898,26.367
1533058235,-47.852,30.762
1533058235,-47.363,31.25
1533058235,-59.57,30.762
1533058235,-60.059,30.273
1533058235,-37.598,31.738
1533058235,-36.133,31.25
1533058235,-37.109,29.785
1533058235,-25.391,27.344
1533058235,-18.066,32.227
1533058235,-7.812,29.297
1533058235,-2.93,26.367
1533058235,0.977,25.879
1533058235,10.254,27.832
1533058235,2.93,29.785
1533058235,11.719,24.902
1533058235,41.016,24.902
1533058235,39.551,26.367
1533058235,41.016,27.344
1533058235,46.875,23.438
1533058235,56.641,23.438
1533058235,80.078,23.438
1533058235,69.336,20.996
1533058235,54.199,23.438
1533058235,61.523,22.949
1533058235,76.66,24.414
1533058235,87.402,24.902
1533058235,68.848,22.949
1533058235,63.965,28.809
1533058235,69.824,36.621
1533058235,73.73,30.762
1533058235,81.055,27.832
1533058235,78.613,35.645
1533058235,83.008,36.621
1533058235,71.289,31.738
1533058235,69.824,32.715
1533058235,83.984,34.18
1533058235,70.801,34.668
1533058235,74.707,36.133
1533058235,75.684,32.715
1533058235,73.73,33.691
1533058235,88.379,36.133
1533058235,84.961,38.086
1533058235,73.242,39.062
1533058235,71.289,36.133
1533058235,89.844,35.645
1533058235,107.422,39.062
1533058235,97.656,38.086
1533058235,84.473,32.227
1533058235,65.918,31.738
1533058235,72.266,32.227
1533058235,87.402,30.273
